Count Sec mSec ID Len SrcPort DestPort Flags
1 1607293074 75229 64759 178 443 46666 24
2 1607293077 209522 0 60 443 45386 18
3 1607293077 403085 12362 52 443 49590 16
4 1607293077 403135 12363 52 443 49590 16
5 1607293077 403344 12364 94 443 49590 24
6 1607293077 407723 12365 149 443 49590 24
7 1607293077 412045 20719 52 443 45386 16
8 1607293077 412851 20720 2628 443 45386 16
9 1607293077 413076 20722 877 443 45386 24
10 1607293077 424102 12366 52 443 49590 16
11 1607293077 424132 12367 52 443 49590 16
12 1607293077 424344 12368 94 443 49590 24
13 1607293077 425451 12369 124 443 49590 24
14 1607293077 467900 12370 52 443 49590 16
15 1607293077 467954 12371 94 443 49590 24
16 1607293077 474879 12372 126 443 49590 24
17 1607293077 630294 20723 103 443 45386 24
18 1607293077 672674 20724 52 443 45386 16
19 1607293077 693178 19955 60 443 49806 18
20 1607293077 707965 20725 322 443 45386 24
21 1607293077 729484 19956 52 443 49806 16
22 1607293077 729943 19957 2852 443 49806 24
23 1607293077 731971 19959 1231 443 49806 24
24 1607293077 770069 19962 52 443 49806 16
25 1607293077 770355 19963 52 443 49806 16
26 1607293077 770801 19964 1190 443 49806 24
27 1607293078 65464 50919 60 443 38448 18
28 1607293078 80521 46304 52 443 37252 16
29 1607293078 102764 50920 52 443 38448 16
30 1607293078 103155 50921 1452 443 38448 16
31 1607293078 103409 50922 1452 443 38448 24
32 1607293078 105226 50923 1199 443 38448 24
33 1607293078 136625 0 60 443 54598 18
34 1607293078 146790 50924 52 443 38448 16
35 1607293078 149211 50925 52 443 38448 16
36 1607293078 154950 24761 52 443 54598 16
37 1607293078 155004 24762 1452 443 54598 16
38 1607293078 155167 24763 2732 443 54598 24
39 1607293078 175414 24765 339 443 54598 24
40 1607293078 175463 24766 339 443 54598 24
41 1607293078 175810 24767 114 443 54598 24
42 1607293078 177017 24768 52 443 54598 16
43 1607293078 177044 24769 83 443 54598 24
44 1607293078 182089 50928 658 443 38448 24
45 1607293078 215781 50930 52 443 38448 16
46 1607293078 216704 50931 1452 443 38448 16
47 1607293078 216982 50932 1452 443 38448 24
48 1607293078 217011 50933 2852 443 38448 24
49 1607293078 217198 50935 2308 443 38448 24
50 1607293078 223705 24770 52 443 54598 16
51 1607293078 302134 20726 52 443 45386 16
52 1607293078 364138 20727 322 443 45386 24
53 1607293078 889301 24771 2852 443 54598 16
54 1607293078 889501 24773 2852 443 54598 16
55 1607293078 889747 24775 2852 443 54598 16
56 1607293078 890090 24777 2852 443 54598 16
57 1607293078 890242 24779 2852 443 54598 16
58 1607293078 896229 24781 2852 443 54598 16
59 1607293078 896422 24783 2852 443 54598 16
60 1607293078 896672 24785 2852 443 54598 16
61 1607293078 896921 24787 2852 443 54598 16
62 1607293078 897170 24789 2852 443 54598 16
63 1607293078 897426 24791 2852 443 54598 16
64 1607293078 897671 24793 2852 443 54598 16
65 1607293078 897926 24795 2852 443 54598 16
66 1607293078 898192 24797 2852 443 54598 16
67 1607293078 898425 24799 2852 443 54598 16
68 1607293078 903231 24801 2852 443 54598 16
69 1607293078 903456 24803 2852 443 54598 16
70 1607293078 903711 24805 2852 443 54598 16
71 1607293078 903963 24807 2852 443 54598 16
72 1607293078 904211 24809 2852 443 54598 16
73 1607293078 904467 24811 2852 443 54598 16
74 1607293078 904713 24813 2852 443 54598 16
75 1607293078 904957 24815 1452 443 54598 16
76 1607293078 904969 24816 1452 443 54598 16
77 1607293078 905211 24817 2852 443 54598 16
78 1607293078 905458 24819 2852 443 54598 16
